Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
@ensdomains/react-ens-address,0.0634,LOW,0.88056,HIGH
@asyncapi/react-component,0.77,MEDIUM,0.00001,HIGH
@actbase/react-native-kakao-navi,0.7748,HIGH,0.88,HIGH
@voiceflow/slate-serializer,0.0634,LOW,0.8803,HIGH
go-template,0.5747,MEDIUM,0.87995,HIGH
test23112222-api,0.7748,HIGH,0.9657,HIGH
posthog-js,0.0634,LOW,0.39274,HIGH
react-native-use-modal,0.6722,MEDIUM,0.86948,HIGH
prime-one-table,0.7748,HIGH,0.88045,HIGH
@seung-ju/react-hooks,0.4089,MEDIUM,0.63274,HIGH
react-micromodal.js,0.4089,MEDIUM,0.63307,HIGH
@voiceflow/runtime,0.0634,LOW,0.0132,HIGH
@voiceflow/runtime,0.0634,LOW,0.0132,HIGH
automation_model,0.6824,MEDIUM,0.58657,HIGH
jaetut-varit-test,1,HIGH,0.87969,HIGH
@asyncapi/keeper,0.7748,HIGH,0.87967,HIGH
korea-administrative-area-geo-json-util,0.7748,HIGH,0.96572,HIGH
@osmanekrem/error-handler,0.6824,MEDIUM,0.88051,HIGH
@quick-start-soft/quick-task-refine,0.0634,LOW,0.45147,HIGH
@voiceflow/nestjs-mongodb,0.0634,LOW,0.87984,HIGH
skills-use,0.2237,LOW,0.87966,HIGH
orchestrix,0.5747,MEDIUM,0.35111,HIGH
axios-builder,0.7748,HIGH,0.9657,HIGH
parcel-plugin-asset-copier,0.5747,MEDIUM,0.88052,HIGH
@voiceflow/dtos-interact,0.7748,HIGH,0.88263,HIGH
zuper-stream,0.5184,MEDIUM,0.88761,HIGH
@alexcolls/nuxt-socket.io,0.0634,LOW,0.87971,HIGH
@zapier/browserslist-config-zapier,0.7748,HIGH,0.87989,HIGH
@ensdomains/blacklist,0.5747,MEDIUM,0.87969,HIGH
@trpc-rate-limiter/cloudflare,0.7748,HIGH,0.87973,HIGH
@kvytech/components,0.7748,HIGH,0.87977,HIGH
orbit-boxicons,0.5747,MEDIUM,0.88538,HIGH
react-jam-icons,0.7748,HIGH,0.88368,HIGH
@seung-ju/openapi-generator,0.7748,HIGH,0.88041,HIGH
@ntnx/passport-wso2,0.7748,HIGH,0.87968,HIGH
tcsp-test-vd,0.0634,LOW,0.83575,HIGH
@asyncapi/cli,,,0.91381,HIGH
@asyncapi/studio,,,0,HIGH
@ensdomains/cypress-metamask,,,0.88028,HIGH
@kvytech/medusa-plugin-announcement,,,0.63294,HIGH
